category,informationType,informativeness,sharing,age,gender,platform,extraversion,agreeableness,conscientiousness,neuroticism,openness,imagePath,originCategory,datasetName,id,bbox
mirror,2,4,0,51,Female,CrowdWorks,5,7,9,7,8,30589.jpg,mirror,LVIS,30589_mirror,"[0, 0, 0, 0]"
refrigerator,3,4,0,51,Female,CrowdWorks,5,7,9,7,8,30589.jpg,refrigerator,LVIS,30589_refrigerator,"[0, 0, 0, 0]"
cigarette,2,5,0,51,Female,CrowdWorks,5,7,9,7,8,30589.jpg,cigarette,LVIS,30589_cigarette,"[0, 0, 0, 0]"
Car,1,1,2,66,Male,CrowdWorks,4,8,6,7,6,00a3654c1cf00d11.jpg,Car,OpenImages,00a3654c1cf00d11_Car,"[0, 0, 0, 0]"
Furniture,1,5,1,21,Male,Prolific,5,10,8,6,7,5dfb1f03dcffaa36.jpg,Furniture,OpenImages,5dfb1f03dcffaa36_Furniture,"[0, 0, 0, 0]"
Building,1,5,2,21,Male,Prolific,5,10,8,6,7,5dfb1f03dcffaa36.jpg,Building,OpenImages,5dfb1f03dcffaa36_Building,"[0, 0, 0, 0]"
Human hair,0,5,1,37,Male,CrowdWorks,2,6,5,9,6,886236e08b9b968c.jpg,Human hair,OpenImages,886236e08b9b968c_Human hair,"[0, 0, 0, 0]"
Human body,0,6,1,37,Male,CrowdWorks,2,6,5,9,6,886236e08b9b968c.jpg,Human body,OpenImages,886236e08b9b968c_Human body,"[0, 0, 0, 0]"
Human head,0,6,1,37,Male,CrowdWorks,2,6,5,9,6,886236e08b9b968c.jpg,Human head,OpenImages,886236e08b9b968c_Human head,"[0, 0, 0, 0]"
Woman,0,6,1,37,Male,CrowdWorks,2,6,5,9,6,886236e08b9b968c.jpg,Woman,OpenImages,886236e08b9b968c_Woman,"[0, 0, 0, 0]"
Human hair,0,4,1,41,Female,CrowdWorks,5,6,3,9,6,2eb849114cbb18d9.jpg,Human hair,OpenImages,2eb849114cbb18d9_Human hair,"[0, 0, 0, 0]"
Clothing,0,3,1,41,Female,CrowdWorks,5,6,3,9,6,2eb849114cbb18d9.jpg,Clothing,OpenImages,2eb849114cbb18d9_Clothing,"[0, 0, 0, 0]"
Human body,0,6,1,41,Female,CrowdWorks,5,6,3,9,6,2eb849114cbb18d9.jpg,Human body,OpenImages,2eb849114cbb18d9_Human body,"[0, 0, 0, 0]"
Mammal,0,6,1,41,Female,CrowdWorks,5,6,3,9,6,2eb849114cbb18d9.jpg,Mammal,OpenImages,2eb849114cbb18d9_Mammal,"[0, 0, 0, 0]"
Human arm,0,2,1,41,Female,CrowdWorks,5,6,3,9,6,2eb849114cbb18d9.jpg,Human arm,OpenImages,2eb849114cbb18d9_Human arm,"[0, 0, 0, 0]"
Man,0,6,1,41,Female,CrowdWorks,5,6,3,9,6,2eb849114cbb18d9.jpg,Man,OpenImages,2eb849114cbb18d9_Man,"[0, 0, 0, 0]"
Human hair,0,3,0,55,Female,Prolific,5,8,10,2,8,2eb849114cbb18d9.jpg,Human hair,OpenImages,2eb849114cbb18d9_Human hair,"[0, 0, 0, 0]"
traffic_light,1,3,1,24,Female,CrowdWorks,5,8,5,9,8,113724.jpg,traffic_light,LVIS,113724_traffic_light,"[0, 0, 0, 0]"
bullet_train,1,3,1,24,Female,CrowdWorks,5,8,5,9,8,113724.jpg,bullet_train,LVIS,113724_bullet_train,"[0, 0, 0, 0]"
headlight,1,3,1,24,Female,CrowdWorks,5,8,5,9,8,113724.jpg,headlight,LVIS,113724_headlight,"[0, 0, 0, 0]"
Furniture,2,4,1,34,Female,CrowdWorks,4,6,5,8,9,003775320f1d6937.jpg,Furniture,OpenImages,003775320f1d6937_Furniture,"[0, 0, 0, 0]"
Table,3,4,1,34,Female,CrowdWorks,4,6,5,8,9,003775320f1d6937.jpg,Table,OpenImages,003775320f1d6937_Table,"[0, 0, 0, 0]"
Building,1,5,1,60,Male,CrowdWorks,7,8,8,8,4,7aef8ea403408bdc.jpg,Building,OpenImages,7aef8ea403408bdc_Building,"[0, 0, 0, 0]"
Tower,1,5,1,60,Male,CrowdWorks,7,8,8,8,4,7aef8ea403408bdc.jpg,Tower,OpenImages,7aef8ea403408bdc_Tower,"[0, 0, 0, 0]"
spectacles,0,4,1,48,Female,CrowdWorks,3,8,6,8,5,10130.jpg,spectacles,LVIS,10130_spectacles,"[0, 0, 0, 0]"
cellular_telephone,0,4,0,48,Female,CrowdWorks,3,8,6,8,5,10130.jpg,cellular_telephone,LVIS,10130_cellular_telephone,"[0, 0, 0, 0]"
Sewing machine,2,1,3,40,Male,Prolific,7,6,8,3,5,7b60fe6e7741dab6.jpg,Sewing machine,OpenImages,7b60fe6e7741dab6_Sewing machine,"[0, 0, 0, 0]"
Person,2,1,3,40,Male,Prolific,7,6,8,3,5,7b60fe6e7741dab6.jpg,Person,OpenImages,7b60fe6e7741dab6_Person,"[0, 0, 0, 0]"
Car,1,4,0,35,Female,CrowdWorks,4,5,6,10,5,057569768fd6303e.jpg,Car,OpenImages,057569768fd6303e_Car,"[0, 0, 0, 0]"
Vehicle registration plate,0,3,0,35,Female,CrowdWorks,4,5,6,10,5,057569768fd6303e.jpg,Vehicle registration plate,OpenImages,057569768fd6303e_Vehicle registration plate,"[0, 0, 0, 0]"
Car,1,4,1,46,Female,Prolific,6,6,10,5,7,057569768fd6303e.jpg,Car,OpenImages,057569768fd6303e_Car,"[0, 0, 0, 0]"
Vehicle registration plate,3,4,1,46,Female,Prolific,6,6,10,5,7,057569768fd6303e.jpg,Vehicle registration plate,OpenImages,057569768fd6303e_Vehicle registration plate,"[0, 0, 0, 0]"
Car,0,5,0,35,Female,CrowdWorks,6,6,8,6,9,56a690f5c282c6a4.jpg,Car,OpenImages,56a690f5c282c6a4_Car,"[0, 0, 0, 0]"
Car,4,4,1,30,Female,Prolific,3,8,6,7,5,56a690f5c282c6a4.jpg,Car,OpenImages,56a690f5c282c6a4_Car,"[0, 0, 0, 0]"
Human face,0,4,0,49,Male,CrowdWorks,3,3,4,10,6,373c26ce480f8d29.jpg,Human face,OpenImages,373c26ce480f8d29_Human face,"[0, 0, 0, 0]"
Person,0,4,0,49,Male,CrowdWorks,3,3,4,10,6,373c26ce480f8d29.jpg,Person,OpenImages,373c26ce480f8d29_Person,"[0, 0, 0, 0]"
Human body,0,4,0,49,Male,CrowdWorks,3,3,4,10,6,373c26ce480f8d29.jpg,Human body,OpenImages,373c26ce480f8d29_Human body,"[0, 0, 0, 0]"
Office building,1,4,0,49,Male,CrowdWorks,3,3,4,10,6,373c26ce480f8d29.jpg,Office building,OpenImages,373c26ce480f8d29_Office building,"[0, 0, 0, 0]"
belt,0,3,2,34,Male,Prolific,4,4,6,6,10,152286.jpg,belt,LVIS,152286_belt,"[0, 0, 0, 0]"
baseball,2,3,3,34,Male,Prolific,4,4,6,6,10,152286.jpg,baseball,LVIS,152286_baseball,"[0, 0, 0, 0]"
baseball_glove,2,4,2,34,Male,Prolific,4,4,6,6,10,152286.jpg,baseball_glove,LVIS,152286_baseball_glove,"[0, 0, 0, 0]"
belt_buckle,0,3,2,34,Male,Prolific,4,4,6,6,10,152286.jpg,belt_buckle,LVIS,152286_belt_buckle,"[0, 0, 0, 0]"
necklace,0,4,0,34,Male,Prolific,4,4,6,6,10,152286.jpg,necklace,LVIS,152286_necklace,"[0, 0, 0, 0]"
person,0,5,1,48,Male,CrowdWorks,3,3,9,8,6,137294.jpg,person,LVIS,137294_person,"[0, 0, 0, 0]"
person,0,6,2,34,Male,Prolific,2,7,7,4,6,137294.jpg,person,LVIS,137294_person,"[0, 0, 0, 0]"
Human foot,2,1,2,51,Female,CrowdWorks,5,6,7,8,6,430ccf0ea355d0f3.jpg,Human foot,OpenImages,430ccf0ea355d0f3_Human foot,"[0, 0, 0, 0]"
Person,0,5,1,39,Male,CrowdWorks,5,5,5,7,5,04ec0b057014a648.jpg,Person,OpenImages,04ec0b057014a648_Person,"[0, 0, 0, 0]"
Person,4,4,0,61,Female,Prolific,6,7,9,7,6,04ec0b057014a648.jpg,Person,OpenImages,04ec0b057014a648_Person,"[0, 0, 0, 0]"
Car,0,4,1,46,Female,CrowdWorks,3,7,9,5,8,02af9804c6b68f61.jpg,Car,OpenImages,02af9804c6b68f61_Car,"[0, 0, 0, 0]"
Person,0,6,0,46,Female,CrowdWorks,3,7,9,5,8,02af9804c6b68f61.jpg,Person,OpenImages,02af9804c6b68f61_Person,"[0, 0, 0, 0]"
Chair,2,3,0,36,Female,CrowdWorks,4,5,5,6,6,0a6bc386b28f2aac.jpg,Chair,OpenImages,0a6bc386b28f2aac_Chair,"[0, 0, 0, 0]"
Nightstand,2,3,0,36,Female,CrowdWorks,4,5,5,6,6,0a6bc386b28f2aac.jpg,Nightstand,OpenImages,0a6bc386b28f2aac_Nightstand,"[0, 0, 0, 0]"
House,1,3,0,36,Female,CrowdWorks,4,5,5,6,6,0a6bc386b28f2aac.jpg,House,OpenImages,0a6bc386b28f2aac_House,"[0, 0, 0, 0]"
Table,2,3,0,36,Female,CrowdWorks,4,5,5,6,6,0a6bc386b28f2aac.jpg,Table,OpenImages,0a6bc386b28f2aac_Table,"[0, 0, 0, 0]"
Bed,2,3,0,36,Female,CrowdWorks,4,5,5,6,6,0a6bc386b28f2aac.jpg,Bed,OpenImages,0a6bc386b28f2aac_Bed,"[0, 0, 0, 0]"
House,1,5,1,26,Female,Prolific,3,6,8,7,7,0a6bc386b28f2aac.jpg,House,OpenImages,0a6bc386b28f2aac_House,"[0, 0, 0, 0]"
Traffic sign,1,4,2,42,Female,CrowdWorks,5,4,7,9,7,2e969144f13eb1dc.jpg,Traffic sign,OpenImages,2e969144f13eb1dc_Traffic sign,"[0, 0, 0, 0]"
House,1,2,2,42,Female,CrowdWorks,5,4,7,9,7,2e969144f13eb1dc.jpg,House,OpenImages,2e969144f13eb1dc_House,"[0, 0, 0, 0]"
Tree,1,3,2,42,Female,CrowdWorks,5,4,7,9,7,2e969144f13eb1dc.jpg,Tree,OpenImages,2e969144f13eb1dc_Tree,"[0, 0, 0, 0]"
Human hair,0,5,1,21,Female,Prolific,6,6,5,7,9,200907829e4fbe95.jpg,Human hair,OpenImages,200907829e4fbe95_Human hair,"[0, 0, 0, 0]"
Musical instrument,2,4,1,21,Female,Prolific,6,6,5,7,9,200907829e4fbe95.jpg,Musical instrument,OpenImages,200907829e4fbe95_Musical instrument,"[0, 0, 0, 0]"
Guitar,2,4,1,21,Female,Prolific,6,6,5,7,9,200907829e4fbe95.jpg,Guitar,OpenImages,200907829e4fbe95_Guitar,"[0, 0, 0, 0]"
Clothing,0,5,1,21,Female,Prolific,6,6,5,7,9,200907829e4fbe95.jpg,Clothing,OpenImages,200907829e4fbe95_Clothing,"[0, 0, 0, 0]"
Human body,0,6,0,21,Female,Prolific,6,6,5,7,9,200907829e4fbe95.jpg,Human body,OpenImages,200907829e4fbe95_Human body,"[0, 0, 0, 0]"
Cello,2,4,1,21,Female,Prolific,6,6,5,7,9,200907829e4fbe95.jpg,Cello,OpenImages,200907829e4fbe95_Cello,"[0, 0, 0, 0]"
Microphone,2,4,1,21,Female,Prolific,6,6,5,7,9,200907829e4fbe95.jpg,Microphone,OpenImages,200907829e4fbe95_Microphone,"[0, 0, 0, 0]"
Man,0,6,0,21,Female,Prolific,6,6,5,7,9,200907829e4fbe95.jpg,Man,OpenImages,200907829e4fbe95_Man,"[0, 0, 0, 0]"
banner,1,4,1,36,Female,Prolific,4,7,4,6,9,120674.jpg,banner,LVIS,120674_banner,"[0, 0, 0, 0]"
newspaper,1,6,1,24,Male,Prolific,6,6,8,4,6,217704.jpg,newspaper,LVIS,217704_newspaper,"[0, 0, 0, 0]"
earring,0,0,2,32,Male,Prolific,3,3,6,7,9,132888.jpg,earring,LVIS,132888_earring,"[0, 0, 0, 0]"
necklace,0,0,2,32,Male,Prolific,3,3,6,7,9,132888.jpg,necklace,LVIS,132888_necklace,"[0, 0, 0, 0]"
wineglass,2,0,2,32,Male,Prolific,3,3,6,7,9,132888.jpg,wineglass,LVIS,132888_wineglass,"[0, 0, 0, 0]"
wine_bottle,2,0,2,32,Male,Prolific,3,3,6,7,9,132888.jpg,wine_bottle,LVIS,132888_wine_bottle,"[0, 0, 0, 0]"
jacket,3,1,2,32,Male,Prolific,3,3,6,7,9,132888.jpg,jacket,LVIS,132888_jacket,"[0, 0, 0, 0]"
bus_(vehicle),4,3,2,62,Female,Prolific,4,5,8,7,10,15517.jpg,bus_(vehicle),LVIS,15517_bus_(vehicle),"[0, 0, 0, 0]"
streetlight,4,3,2,62,Female,Prolific,4,5,8,7,10,15517.jpg,streetlight,LVIS,15517_streetlight,"[0, 0, 0, 0]"
tag,2,4,2,31,Other,Prolific,6,7,8,8,8,145820.jpg,tag,LVIS,145820_tag,"[0, 0, 0, 0]"
Car,3,4,1,59,Female,Prolific,8,5,6,9,9,08481c03daf6f35d.jpg,Car,OpenImages,08481c03daf6f35d_Car,"[0, 0, 0, 0]"
Vehicle registration plate,0,6,0,59,Female,Prolific,8,5,6,9,9,08481c03daf6f35d.jpg,Vehicle registration plate,OpenImages,08481c03daf6f35d_Vehicle registration plate,"[0, 0, 0, 0]"
blender,2,4,1,39,Female,Prolific,4,5,8,6,8,107167.jpg,blender,LVIS,107167_blender,"[0, 0, 0, 0]"
peach,1,4,1,39,Female,Prolific,4,5,8,6,8,107167.jpg,peach,LVIS,107167_peach,"[0, 0, 0, 0]"
cherry,1,4,1,39,Female,Prolific,4,5,8,6,8,107167.jpg,cherry,LVIS,107167_cherry,"[0, 0, 0, 0]"
mushroom,1,4,1,39,Female,Prolific,4,5,8,6,8,107167.jpg,mushroom,LVIS,107167_mushroom,"[0, 0, 0, 0]"
banana,1,4,1,39,Female,Prolific,4,5,8,6,8,107167.jpg,banana,LVIS,107167_banana,"[0, 0, 0, 0]"
pitcher_(vessel_for_liquid),1,4,1,39,Female,Prolific,4,5,8,6,8,107167.jpg,pitcher_(vessel_for_liquid),LVIS,107167_pitcher_(vessel_for_liquid),"[0, 0, 0, 0]"
license_plate,0,3,0,36,Female,Prolific,9,8,10,5,7,123131.jpg,license_plate,LVIS,123131_license_plate,"[0, 0, 0, 0]"
control,2,6,1,44,Female,Prolific,6,6,7,5,7,174303.jpg,control,LVIS,174303_control,"[0, 0, 0, 0]"
Man,0,4,0,41,Female,Prolific,8,6,9,4,6,17bdce788b466989.jpg,Man,OpenImages,17bdce788b466989_Man,"[0, 0, 0, 0]"
Human face,0,6,1,40,Male,Prolific,4,8,8,8,8,3128e57d25084132.jpg,Human face,OpenImages,3128e57d25084132_Human face,"[0, 0, 0, 0]"
Man,0,6,1,40,Male,Prolific,4,8,8,8,8,3128e57d25084132.jpg,Man,OpenImages,3128e57d25084132_Man,"[0, 0, 0, 0]"
Human hair,0,4,1,31,Other,Prolific,6,7,8,8,8,3e4ad48b1e86a288.jpg,Human hair,OpenImages,3e4ad48b1e86a288_Human hair,"[0, 0, 0, 0]"
Girl,3,4,1,31,Other,Prolific,6,7,8,8,8,3e4ad48b1e86a288.jpg,Girl,OpenImages,3e4ad48b1e86a288_Girl,"[0, 0, 0, 0]"
Clothing,3,5,1,31,Other,Prolific,6,7,8,8,8,3e4ad48b1e86a288.jpg,Clothing,OpenImages,3e4ad48b1e86a288_Clothing,"[0, 0, 0, 0]"
Human body,3,5,1,31,Other,Prolific,6,7,8,8,8,3e4ad48b1e86a288.jpg,Human body,OpenImages,3e4ad48b1e86a288_Human body,"[0, 0, 0, 0]"
Mammal,3,4,1,31,Other,Prolific,6,7,8,8,8,3e4ad48b1e86a288.jpg,Mammal,OpenImages,3e4ad48b1e86a288_Mammal,"[0, 0, 0, 0]"
Woman,3,5,1,31,Other,Prolific,6,7,8,8,8,3e4ad48b1e86a288.jpg,Woman,OpenImages,3e4ad48b1e86a288_Woman,"[0, 0, 0, 0]"
Man,3,5,1,31,Other,Prolific,6,7,8,8,8,3e4ad48b1e86a288.jpg,Man,OpenImages,3e4ad48b1e86a288_Man,"[0, 0, 0, 0]"
laptop_computer,4,5,0,36,Female,Prolific,4,7,4,6,9,147415.jpg,laptop_computer,LVIS,147415_laptop_computer,"[0, 0, 0, 0]"
medicine,0,5,0,36,Female,Prolific,4,7,4,6,9,147415.jpg,medicine,LVIS,147415_medicine,"[0, 0, 0, 0]"
envelope,0,3,0,36,Female,Prolific,4,7,4,6,9,147415.jpg,envelope,LVIS,147415_envelope,"[0, 0, 0, 0]"
sofa,0,6,1,44,Female,Prolific,6,6,7,5,7,104188.jpg,sofa,LVIS,104188_sofa,"[0, 0, 0, 0]"
Skyscraper,1,4,1,39,Female,Prolific,4,5,8,6,8,e35623bbfca05b41.jpg,Skyscraper,OpenImages,e35623bbfca05b41_Skyscraper,"[0, 0, 0, 0]"
Building,1,4,1,39,Female,Prolific,4,5,8,6,8,e35623bbfca05b41.jpg,Building,OpenImages,e35623bbfca05b41_Building,"[0, 0, 0, 0]"
Window,1,5,1,39,Female,Prolific,4,5,8,6,8,e35623bbfca05b41.jpg,Window,OpenImages,e35623bbfca05b41_Window,"[0, 0, 0, 0]"
Human face,0,6,1,59,Female,Prolific,8,5,6,9,9,0f8a30c4c4e946fd.jpg,Human face,OpenImages,0f8a30c4c4e946fd_Human face,"[0, 0, 0, 0]"
Girl,0,6,1,59,Female,Prolific,8,5,6,9,9,0f8a30c4c4e946fd.jpg,Girl,OpenImages,0f8a30c4c4e946fd_Girl,"[0, 0, 0, 0]"
Human head,0,5,0,59,Female,Prolific,8,5,6,9,9,0f8a30c4c4e946fd.jpg,Human head,OpenImages,0f8a30c4c4e946fd_Human head,"[0, 0, 0, 0]"
Mammal,0,5,1,59,Female,Prolific,8,5,6,9,9,0f8a30c4c4e946fd.jpg,Mammal,OpenImages,0f8a30c4c4e946fd_Mammal,"[0, 0, 0, 0]"
laptop_computer,0,5,2,57,Other,Prolific,7,10,10,2,10,166478.jpg,laptop_computer,LVIS,166478_laptop_computer,"[0, 0, 0, 0]"
telephone,0,5,2,57,Other,Prolific,7,10,10,2,10,166478.jpg,telephone,LVIS,166478_telephone,"[0, 0, 0, 0]"
tag,0,4,1,21,Female,Prolific,6,6,5,7,9,151975.jpg,tag,LVIS,151975_tag,"[0, 0, 0, 0]"
Human face,0,6,0,39,Female,Prolific,4,5,8,6,8,683307758eb4fd7c.jpg,Human face,OpenImages,683307758eb4fd7c_Human face,"[0, 0, 0, 0]"
Poster,3,6,0,39,Female,Prolific,4,5,8,6,8,683307758eb4fd7c.jpg,Poster,OpenImages,683307758eb4fd7c_Poster,"[0, 0, 0, 0]"
Person,0,6,0,39,Female,Prolific,4,5,8,6,8,683307758eb4fd7c.jpg,Person,OpenImages,683307758eb4fd7c_Person,"[0, 0, 0, 0]"
Human nose,0,5,0,39,Female,Prolific,4,5,8,6,8,683307758eb4fd7c.jpg,Human nose,OpenImages,683307758eb4fd7c_Human nose,"[0, 0, 0, 0]"
Clothing,3,6,0,39,Female,Prolific,4,5,8,6,8,683307758eb4fd7c.jpg,Clothing,OpenImages,683307758eb4fd7c_Clothing,"[0, 0, 0, 0]"
Human body,0,6,0,39,Female,Prolific,4,5,8,6,8,683307758eb4fd7c.jpg,Human body,OpenImages,683307758eb4fd7c_Human body,"[0, 0, 0, 0]"
Human face,0,3,1,36,Female,Prolific,9,8,10,5,7,03006368ed61dbea.jpg,Human face,OpenImages,03006368ed61dbea_Human face,"[0, 0, 0, 0]"
Person,0,3,1,36,Female,Prolific,9,8,10,5,7,03006368ed61dbea.jpg,Person,OpenImages,03006368ed61dbea_Person,"[0, 0, 0, 0]"
Human body,0,3,1,36,Female,Prolific,9,8,10,5,7,03006368ed61dbea.jpg,Human body,OpenImages,03006368ed61dbea_Human body,"[0, 0, 0, 0]"
Human head,0,3,1,36,Female,Prolific,9,8,10,5,7,03006368ed61dbea.jpg,Human head,OpenImages,03006368ed61dbea_Human head,"[0, 0, 0, 0]"
Human hand,0,3,1,36,Female,Prolific,9,8,10,5,7,03006368ed61dbea.jpg,Human hand,OpenImages,03006368ed61dbea_Human hand,"[0, 0, 0, 0]"
Human arm,0,3,1,36,Female,Prolific,9,8,10,5,7,03006368ed61dbea.jpg,Human arm,OpenImages,03006368ed61dbea_Human arm,"[0, 0, 0, 0]"
Man,0,3,1,36,Female,Prolific,9,8,10,5,7,03006368ed61dbea.jpg,Man,OpenImages,03006368ed61dbea_Man,"[0, 0, 0, 0]"
Person,0,5,3,40,Male,Prolific,4,8,8,8,8,40d7e990368a8098.jpg,Person,OpenImages,40d7e990368a8098_Person,"[0, 0, 0, 0]"
Clothing,4,4,3,40,Male,Prolific,4,8,8,8,8,40d7e990368a8098.jpg,Clothing,OpenImages,40d7e990368a8098_Clothing,"[0, 0, 0, 0]"
Man,0,4,3,40,Male,Prolific,4,8,8,8,8,40d7e990368a8098.jpg,Man,OpenImages,40d7e990368a8098_Man,"[0, 0, 0, 0]"
car_(automobile),0,6,0,44,Female,Prolific,6,6,7,5,7,116740.jpg,car_(automobile),LVIS,116740_car_(automobile),"[0, 0, 0, 0]"
cup,1,6,0,40,Female,Prolific,7,6,9,4,9,140987.jpg,cup,LVIS,140987_cup,"[0, 0, 0, 0]"
Human body,0,3,1,59,Female,Prolific,8,5,6,9,9,5f69c551dcb4a8eb.jpg,Human body,OpenImages,5f69c551dcb4a8eb_Human body,"[0, 0, 0, 0]"
Man,0,6,1,59,Female,Prolific,8,5,6,9,9,5f69c551dcb4a8eb.jpg,Man,OpenImages,5f69c551dcb4a8eb_Man,"[0, 0, 0, 0]"
Person,0,5,3,31,Other,Prolific,6,7,8,8,8,01491bf840ae9939.jpg,Person,OpenImages,01491bf840ae9939_Person,"[0, 0, 0, 0]"
Clothing,0,5,3,31,Other,Prolific,6,7,8,8,8,01491bf840ae9939.jpg,Clothing,OpenImages,01491bf840ae9939_Clothing,"[0, 0, 0, 0]"
Sports uniform,3,3,3,31,Other,Prolific,6,7,8,8,8,01491bf840ae9939.jpg,Sports uniform,OpenImages,01491bf840ae9939_Sports uniform,"[0, 0, 0, 0]"
Human body,0,5,3,31,Other,Prolific,6,7,8,8,8,01491bf840ae9939.jpg,Human body,OpenImages,01491bf840ae9939_Human body,"[0, 0, 0, 0]"
Human head,0,5,3,31,Other,Prolific,6,7,8,8,8,01491bf840ae9939.jpg,Human head,OpenImages,01491bf840ae9939_Human head,"[0, 0, 0, 0]"
Human body,2,4,0,39,Female,Prolific,4,5,8,6,8,b806f7eb139a04e5.jpg,Human body,OpenImages,b806f7eb139a04e5_Human body,"[0, 0, 0, 0]"
Human hand,2,4,0,39,Female,Prolific,4,5,8,6,8,b806f7eb139a04e5.jpg,Human hand,OpenImages,b806f7eb139a04e5_Human hand,"[0, 0, 0, 0]"
Cosmetics,2,4,1,39,Female,Prolific,4,5,8,6,8,b806f7eb139a04e5.jpg,Cosmetics,OpenImages,b806f7eb139a04e5_Cosmetics,"[0, 0, 0, 0]"
teddy_bear,4,5,1,40,Male,Prolific,4,8,8,8,8,149566.jpg,teddy_bear,LVIS,149566_teddy_bear,"[0, 0, 0, 0]"
Person,0,6,0,39,Female,Prolific,4,5,8,6,8,01ab773186c630c4.jpg,Person,OpenImages,01ab773186c630c4_Person,"[0, 0, 0, 0]"
Clothing,0,4,0,39,Female,Prolific,4,5,8,6,8,01ab773186c630c4.jpg,Clothing,OpenImages,01ab773186c630c4_Clothing,"[0, 0, 0, 0]"
Footwear,2,4,1,39,Female,Prolific,4,5,8,6,8,01ab773186c630c4.jpg,Footwear,OpenImages,01ab773186c630c4_Footwear,"[0, 0, 0, 0]"
Woman,0,5,0,39,Female,Prolific,4,5,8,6,8,01ab773186c630c4.jpg,Woman,OpenImages,01ab773186c630c4_Woman,"[0, 0, 0, 0]"
Person,0,5,1,21,Female,Prolific,6,6,5,7,9,147bc1b2a07abe88.jpg,Person,OpenImages,147bc1b2a07abe88_Person,"[0, 0, 0, 0]"
Clothing,0,4,1,21,Female,Prolific,6,6,5,7,9,147bc1b2a07abe88.jpg,Clothing,OpenImages,147bc1b2a07abe88_Clothing,"[0, 0, 0, 0]"
Man,0,4,0,21,Female,Prolific,6,6,5,7,9,147bc1b2a07abe88.jpg,Man,OpenImages,147bc1b2a07abe88_Man,"[0, 0, 0, 0]"
identity,1,4,0,41,Female,Prolific,8,6,9,4,6,18c7d622a426feef.jpg,identity,OpenImages,18c7d622a426feef_identity,"[0, 0, 0, 0]"
streetlight,1,6,1,40,Female,Prolific,7,6,9,4,9,16631.jpg,streetlight,LVIS,16631_streetlight,"[0, 0, 0, 0]"
ring,4,5,2,31,Other,Prolific,6,7,8,8,8,114169.jpg,ring,LVIS,114169_ring,"[0, 0, 0, 0]"
jersey,0,4,2,43,Other,Prolific,9,8,10,4,7,10764.jpg,jersey,LVIS,10764_jersey,"[0, 0, 0, 0]"
watch,0,4,1,43,Other,Prolific,9,8,10,4,7,118169.jpg,watch,LVIS,118169_watch,"[0, 0, 0, 0]"
tag,0,3,0,43,Other,Prolific,9,8,10,4,7,118169.jpg,tag,LVIS,118169_tag,"[0, 0, 0, 0]"
mail_slot,0,4,1,43,Other,Prolific,9,8,10,4,7,118169.jpg,mail_slot,LVIS,118169_mail_slot,"[0, 0, 0, 0]"
bracelet,3,4,1,40,Female,Prolific,7,6,9,4,9,153300.jpg,bracelet,LVIS,153300_bracelet,"[0, 0, 0, 0]"
ring,0,4,1,40,Female,Prolific,7,6,9,4,9,153300.jpg,ring,LVIS,153300_ring,"[0, 0, 0, 0]"
faucet,2,4,1,39,Female,Prolific,4,5,8,6,8,121316.jpg,faucet,LVIS,121316_faucet,"[0, 0, 0, 0]"
kitchen_sink,2,4,1,39,Female,Prolific,4,5,8,6,8,121316.jpg,kitchen_sink,LVIS,121316_kitchen_sink,"[0, 0, 0, 0]"
vase,2,4,1,39,Female,Prolific,4,5,8,6,8,121316.jpg,vase,LVIS,121316_vase,"[0, 0, 0, 0]"
dispenser,2,4,1,39,Female,Prolific,4,5,8,6,8,121316.jpg,dispenser,LVIS,121316_dispenser,"[0, 0, 0, 0]"
Human face,0,6,0,36,Male,Prolific,6,9,9,3,10,2499021935fff88f.jpg,Human face,OpenImages,2499021935fff88f_Human face,"[0, 0, 0, 0]"
Human hair,0,3,0,36,Male,Prolific,6,9,9,3,10,2499021935fff88f.jpg,Human hair,OpenImages,2499021935fff88f_Human hair,"[0, 0, 0, 0]"
Computer monitor,0,6,0,36,Male,Prolific,6,9,9,3,10,2499021935fff88f.jpg,Computer monitor,OpenImages,2499021935fff88f_Computer monitor,"[0, 0, 0, 0]"
Human nose,0,6,0,36,Male,Prolific,6,9,9,3,10,2499021935fff88f.jpg,Human nose,OpenImages,2499021935fff88f_Human nose,"[0, 0, 0, 0]"
Human head,0,5,0,36,Male,Prolific,6,9,9,3,10,2499021935fff88f.jpg,Human head,OpenImages,2499021935fff88f_Human head,"[0, 0, 0, 0]"
Human eye,0,6,0,36,Male,Prolific,6,9,9,3,10,2499021935fff88f.jpg,Human eye,OpenImages,2499021935fff88f_Human eye,"[0, 0, 0, 0]"
Human mouth,0,6,0,36,Male,Prolific,6,9,9,3,10,2499021935fff88f.jpg,Human mouth,OpenImages,2499021935fff88f_Human mouth,"[0, 0, 0, 0]"
Man,0,6,0,36,Male,Prolific,6,9,9,3,10,2499021935fff88f.jpg,Man,OpenImages,2499021935fff88f_Man,"[0, 0, 0, 0]"
person,0,5,1,36,Female,Prolific,4,7,4,6,9,234685.jpg,person,LVIS,234685_person,"[0, 0, 0, 0]"
Woman,2,4,0,40,Female,Prolific,7,6,9,4,9,d8fbeafad402da5b.jpg,Woman,OpenImages,d8fbeafad402da5b_Woman,"[0, 0, 0, 0]"
